,newid,Id,ActivityDate,TotalSteps,activityinSteps,TotalDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,TotalActiveMinutes,SedentaryMinutes,Calories,TotalMinutesAsleep,TotalTimeInBed,SleepQuality,SleepStart,SleepEnd,HoursSlept
380,8378563200_2016-04-25,8378563200,2016-04-25,12405,Active,9.84000015258789,5.05000019073486,0.870000004768372,3.92000007629395,117,16,141,274,692,4005,388,402,96.51741293532339,00:00:30,23:59:00,6.47
381,8378563200_2016-04-26,8378563200,2016-04-26,16208,Highly active,12.8500003814697,7.51000022888184,0.920000016689301,4.42000007629395,90,18,161,269,593,3763,550,584,94.17808219178082,00:00:00,23:59:00,9.17
382,8378563200_2016-04-27,8378563200,2016-04-27,7359,Low active,5.84000015258789,0.330000013113022,0.180000007152557,5.32999992370605,4,4,192,200,676,3061,531,600,88.5,00:00:00,23:59:00,8.85
383,8378563200_2016-04-28,8378563200,2016-04-28,5417,Low active,4.30000019073486,0.899999976158142,0.490000009536743,2.91000008583069,11,10,139,160,711,2884,506,556,91.00719424460432,00:00:00,23:59:30,8.43
384,8378563200_2016-04-29,8378563200,2016-04-29,6175,Low active,4.90000009536743,0.25,0.360000014305115,4.26999998092651,3,7,172,182,767,2982,527,562,93.77224199288257,00:00:30,23:59:00,8.78
385,8378563200_2016-04-30,8378563200,2016-04-30,2946,Sedentary,2.33999991416931,0.0,0.0,2.33999991416931,0,0,121,121,780,2660,468,555,84.32432432432432,00:00:00,23:59:30,7.8
386,8378563200_2016-05-01,8378563200,2016-05-01,11419,Active,9.0600004196167,6.03000020980835,0.560000002384186,2.47000002861023,71,10,127,208,669,3369,475,539,88.12615955473099,00:00:30,23:59:00,7.92
387,8378563200_2016-05-02,8378563200,2016-05-02,6064,Low active,4.80999994277954,0.629999995231628,0.170000001788139,4.01000022888184,63,4,142,209,802,3491,351,385,91.16883116883116,00:00:00,23:59:00,5.85
388,8378563200_2016-05-03,8378563200,2016-05-03,8712,Somewhat active,6.90999984741211,1.3400000333786,1.05999994277954,4.5,71,20,195,286,822,3784,405,429,94.4055944055944,00:00:00,23:59:00,6.75
389,8378563200_2016-05-04,8378563200,2016-05-04,7875,Somewhat active,6.23999977111816,1.55999994277954,0.490000009536743,4.19999980926514,19,10,167,196,680,3110,441,477,92.45283018867924,00:00:00,23:59:00,7.35
390,8378563200_2016-05-05,8378563200,2016-05-05,8567,Somewhat active,6.78999996185303,0.889999985694885,0.159999996423721,5.73999977111816,66,3,214,283,764,3783,381,417,91.36690647482014,00:00:00,23:59:00,6.35
391,8378563200_2016-05-06,8378563200,2016-05-06,7045,Low active,5.59000015258789,1.54999995231628,0.25,3.77999997138977,74,5,166,245,831,3644,323,355,90.98591549295774,00:00:00,23:59:30,5.38
392,8378563200_2016-05-07,8378563200,2016-05-07,4468,Sedentary,3.53999996185303,0.0,0.0,3.53999996185303,0,0,158,158,851,2799,459,513,89.47368421052632,00:00:30,23:59:00,7.65
393,8378563200_2016-05-08,8378563200,2016-05-08,2943,Sedentary,2.32999992370605,0.0,0.0,2.32999992370605,0,0,139,139,621,2685,545,606,89.93399339933993,00:00:00,23:59:30,9.08
394,8378563200_2016-05-09,8378563200,2016-05-09,8382,Somewhat active,6.65000009536743,1.26999998092651,0.660000026226044,4.71999979019165,71,13,171,255,772,3721,359,399,89.97493734335839,00:00:30,23:59:30,5.98
395,8378563200_2016-05-10,8378563200,2016-05-10,6582,Low active,5.21999979019165,0.660000026226044,0.639999985694885,3.92000007629395,63,13,152,228,840,3586,342,391,87.46803069053708,00:00:30,23:59:30,5.7
396,8378563200_2016-05-11,8378563200,2016-05-11,9143,Somewhat active,7.25,1.38999998569489,0.589999973773956,5.26999998092651,72,10,184,266,763,3788,368,387,95.09043927648578,00:00:30,23:59:00,6.13
397,8378563200_2016-05-12,8378563200,2016-05-12,4561,Sedentary,3.61999988555908,0.649999976158142,0.270000010728836,2.69000005722046,8,6,102,116,433,1976,496,546,90.84249084249085,00:00:00,06:34:00,8.27
398,8792009665_2016-04-12,8792009665,2016-04-12,2564,Sedentary,1.63999998569489,0.0,0.0,1.63999998569489,0,0,116,116,831,2044,458,493,92.90060851926978,01:51:00,10:03:00,7.63
399,8792009665_2016-04-13,8792009665,2016-04-13,1320,Sedentary,0.839999973773956,0.0,0.0,0.839999973773956,0,0,82,82,806,1934,531,552,96.19565217391305,01:18:00,10:29:00,8.85
400,8792009665_2016-04-14,8792009665,2016-04-14,1219,Sedentary,0.779999971389771,0.0,0.0,0.779999971389771,0,0,84,84,853,1963,486,503,96.62027833001989,02:34:00,10:56:00,8.1
401,8792009665_2016-04-15,8792009665,2016-04-15,2483,Sedentary,1.5900000333786,0.0,0.0,1.5900000333786,0,0,126,126,937,2009,363,377,96.28647214854111,03:17:00,09:33:00,6.05
402,8792009665_2016-04-20,8792009665,2016-04-20,3147,Sedentary,2.00999999046326,0.0,0.280000001192093,1.74000000953674,0,10,139,149,744,2188,528,547,96.52650822669105,02:13:00,11:19:00,8.8
403,8792009665_2016-04-22,8792009665,2016-04-22,4068,Sedentary,2.59999990463257,0.0500000007450581,0.280000001192093,2.26999998092651,1,20,195,216,817,2419,391,407,96.06879606879608,02:02:00,08:48:00,6.52
404,8792009665_2016-04-23,8792009665,2016-04-23,5245,Low active,3.35999989509583,0.159999996423721,0.439999997615814,2.75,8,45,232,285,795,2748,339,360,94.16666666666667,03:15:00,09:14:00,5.65
405,8792009665_2016-04-27,8792009665,2016-04-27,1758,Sedentary,1.12999999523163,0.0,0.0,1.12999999523163,0,0,112,112,900,2067,423,428,98.83177570093457,02:11:00,09:18:00,7.05
406,8792009665_2016-04-28,8792009665,2016-04-28,6157,Low active,3.94000005722046,0.0,0.0,3.94000005722046,0,0,310,310,714,2780,402,416,96.63461538461539,02:43:00,09:38:00,6.7
407,8792009665_2016-04-29,8792009665,2016-04-29,8360,Somewhat active,5.34999990463257,0.140000000596046,0.280000001192093,4.92999982833862,6,14,380,400,634,3101,398,406,98.0295566502463,02:19:00,09:04:00,6.63
408,8792009665_2016-04-30,8792009665,2016-04-30,7174,Low active,4.59000015258789,0.330000013113022,0.360000014305115,3.91000008583069,10,20,301,331,749,2896,343,360,95.27777777777777,02:20:00,08:19:00,5.72
409,8792009665_2016-05-01,8792009665,2016-05-01,1619,Sedentary,1.03999996185303,0.0,0.0,1.03999996185303,0,0,79,79,834,1962,503,527,95.44592030360532,01:04:00,09:50:00,8.38
410,8792009665_2016-05-02,8792009665,2016-05-02,1831,Sedentary,1.16999995708466,0.0,0.0,1.16999995708466,0,0,101,101,916,2015,415,423,98.10874704491725,02:34:30,09:36:30,6.92
411,8792009665_2016-05-03,8792009665,2016-05-03,2421,Sedentary,1.54999995231628,0.0,0.0,1.54999995231628,0,0,156,156,739,2297,516,545,94.67889908256882,02:00:30,11:04:30,8.6
412,8792009665_2016-05-04,8792009665,2016-05-04,2283,Sedentary,1.46000003814697,0.0,0.0,1.46000003814697,0,0,129,129,848,2067,439,463,94.81641468682506,02:21:00,10:03:00,7.32
