,newid,Id,ActivityDate,TotalSteps,activityinSteps,TotalDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,TotalActiveMinutes,SedentaryMinutes,Calories,TotalMinutesAsleep,TotalTimeInBed,SleepQuality,SleepStart,SleepEnd,HoursSlept
280,5577150313_2016-05-03,5577150313,2016-05-03,11045,Active,8.25,4.51999998092651,0.150000005960464,3.5699999332428,97,8,212,317,580,3795,508,543,93.55432780847146,12:25:30,21:27:30,8.47
281,5577150313_2016-05-04,5577150313,2016-05-04,5206,Low active,3.89000010490417,1.55999994277954,0.25,2.07999992370605,25,9,141,175,631,2755,603,634,95.11041009463722,10:30:00,21:03:00,10.05
282,5577150313_2016-05-05,5577150313,2016-05-05,7550,Somewhat active,5.6399998664856,2.5,0.469999998807907,2.67000007629395,45,21,143,209,1153,3004,74,78,94.87179487179486,13:02:00,14:19:00,1.23
283,5577150313_2016-05-10,5577150313,2016-05-10,8869,Somewhat active,6.65000009536743,2.55999994277954,0.75,3.34999990463257,104,37,194,335,639,3841,504,562,89.6797153024911,00:00:00,23:59:00,8.4
284,5577150313_2016-05-11,5577150313,2016-05-11,4038,Sedentary,3.03999996185303,1.83000004291534,0.300000011920929,0.889999985694885,45,15,63,123,257,1665,431,476,90.54621848739495,00:00:00,05:45:00,7.18
285,6117666160_2016-04-16,6117666160,2016-04-16,14450,Highly active,10.9099998474121,0.579999983310699,0.850000023841858,9.47999954223633,7,15,518,540,502,2828,380,398,95.47738693467338,00:46:00,07:23:00,6.33
286,6117666160_2016-04-17,6117666160,2016-04-17,7150,Low active,5.40000009536743,0.0,0.0,5.40000009536743,0,0,312,312,702,2225,336,350,96.0,03:22:00,23:59:00,5.6
287,6117666160_2016-04-18,6117666160,2016-04-18,5153,Low active,3.91000008583069,0.0,0.0,3.89000010490417,0,0,241,241,759,2018,493,510,96.66666666666667,00:00:00,23:59:30,8.22
288,6117666160_2016-04-19,6117666160,2016-04-19,11135,Active,8.40999984741211,0.0,0.0,8.40999984741211,0,0,480,480,425,2606,465,492,94.51219512195121,00:00:30,23:59:30,7.75
289,6117666160_2016-04-20,6117666160,2016-04-20,10449,Active,8.02000045776367,2.02999997138977,0.479999989271164,5.51999998092651,26,10,349,385,587,2536,474,502,94.42231075697211,00:00:30,23:59:00,7.9
290,6117666160_2016-04-21,6117666160,2016-04-21,19542,Highly active,15.0100002288818,0.980000019073486,0.400000005960464,5.61999988555908,11,19,294,324,579,4900,508,550,92.36363636363636,00:00:00,08:56:00,8.47
291,6117666160_2016-04-22,6117666160,2016-04-22,8206,Somewhat active,6.19999980926514,0.0,0.0,6.19999980926514,0,0,402,402,413,2409,480,546,87.91208791208791,00:26:00,23:59:30,8.0
292,6117666160_2016-04-23,6117666160,2016-04-23,11495,Active,8.68000030517578,0.0,0.0,8.68000030517578,0,0,512,512,468,2651,492,539,91.28014842300557,00:00:30,07:39:30,8.2
293,6117666160_2016-04-24,6117666160,2016-04-24,7623,Somewhat active,5.76000022888184,0.0,0.0,5.76000022888184,0,0,362,362,711,2305,353,367,96.18528610354224,02:04:00,08:10:00,5.88
294,6117666160_2016-04-27,6117666160,2016-04-27,9411,Somewhat active,7.1100001335144,0.0,0.0,7.1100001335144,0,0,458,458,417,2576,542,557,97.30700179533214,00:00:30,23:59:00,9.03
295,6117666160_2016-04-28,6117666160,2016-04-28,3403,Sedentary,2.59999990463257,0.0,0.0,2.59999990463257,0,0,141,141,758,1879,393,416,94.47115384615384,00:00:00,23:59:30,6.55
296,6117666160_2016-04-29,6117666160,2016-04-29,9592,Somewhat active,7.23999977111816,0.0,0.0,7.23999977111816,0,0,461,461,479,2560,600,636,94.33962264150944,00:00:30,08:18:30,10.0
297,6117666160_2016-05-01,6117666160,2016-05-01,8915,Somewhat active,6.73000001907349,0.0,0.0,6.73000001907349,0,0,397,397,525,2361,507,575,88.17391304347825,00:00:00,08:37:00,8.45
298,6117666160_2016-05-05,6117666160,2016-05-05,9799,Somewhat active,7.40000009536743,0.0,0.0,7.40000009536743,0,0,487,487,479,2636,392,415,94.4578313253012,00:00:00,23:59:30,6.53
299,6117666160_2016-05-06,6117666160,2016-05-06,3365,Sedentary,2.6800000667572,0.0,0.0,2.6800000667572,0,0,133,133,673,1838,658,698,94.26934097421203,00:00:30,14:58:00,10.97
